"Date","Price","Open","High","Low","Change %"
"Jul 07, 2009","1.2664","1.2552","1.2685","1.2435","0.95%"
"Jul 06, 2009","1.2545","1.2577","1.2694","1.2525","-0.01%"
"Jul 03, 2009","1.2546","1.2636","1.2653","1.2483","-0.63%"
"Jul 02, 2009","1.2626","1.2355","1.2631","1.2343","2.05%"
"Jul 01, 2009","1.2372","1.2405","1.2464","1.2327","-0.19%"
"Jun 30, 2009","1.2395","1.2381","1.2441","1.2256","0.01%"
"Jun 29, 2009","1.2394","1.2398","1.2525","1.2347","0.06%"
"Jun 26, 2009","1.2386","1.2441","1.2464","1.2361","-0.55%"
"Jun 25, 2009","1.2454","1.2550","1.2606","1.2436","-0.84%"
"Jun 24, 2009","1.2559","1.2588","1.2630","1.2410","-0.26%"
"Jun 23, 2009","1.2592","1.2705","1.2841","1.2528","-0.95%"
"Jun 22, 2009","1.2713","1.2407","1.2739","1.2407","2.50%"
"Jun 19, 2009","1.2403","1.2491","1.2526","1.2314","-0.87%"
"Jun 18, 2009","1.2512","1.2614","1.2641","1.2412","-0.79%"
"Jun 17, 2009","1.2611","1.2610","1.2741","1.2500","-0.02%"
"Jun 16, 2009","1.2614","1.2583","1.2719","1.2389","0.30%"
"Jun 15, 2009","1.2576","1.2356","1.2651","1.2343","2.15%"
"Jun 12, 2009","1.2311","1.2210","1.2405","1.2171","0.85%"
"Jun 11, 2009","1.2207","1.2472","1.2480","1.2136","-2.09%"
"Jun 10, 2009","1.2468","1.2483","1.2551","1.2287","-0.14%"
"Jun 09, 2009","1.2486","1.2669","1.2734","1.2427","-1.51%"
"Jun 08, 2009","1.2677","1.2593","1.2778","1.2516","0.56%"
"Jun 05, 2009","1.2606","1.2470","1.2632","1.2306","1.16%"
"Jun 04, 2009","1.2462","1.2500","1.2670","1.2356","-0.26%"
"Jun 03, 2009","1.2494","1.2188","1.2605","1.2095","2.58%"
"Jun 02, 2009","1.2180","1.2364","1.2422","1.2145","-1.33%"
"Jun 01, 2009","1.2344","1.2449","1.2515","1.2261","-1.10%"
"May 29, 2009","1.2481","1.2749","1.2773","1.2470","-2.03%"
"May 28, 2009","1.2740","1.2892","1.2893","1.2705","-1.24%"
"May 27, 2009","1.2900","1.2705","1.2910","1.2668","1.44%"
"May 26, 2009","1.2717","1.2780","1.2982","1.2679","-0.54%"
"May 25, 2009","1.2786","1.2786","1.2865","1.2757","0.09%"
"May 22, 2009","1.2775","1.2845","1.2874","1.2705","-0.45%"
"May 21, 2009","1.2833","1.2923","1.3040","1.2812","-0.67%"
"May 20, 2009","1.2919","1.2927","1.3011","1.2801","-0.05%"
"May 19, 2009","1.2925","1.3075","1.3108","1.2842","-1.26%"
"May 18, 2009","1.3090","1.3326","1.3423","1.3036","-1.99%"
"May 15, 2009","1.3356","1.3172","1.3378","1.3139","1.42%"
"May 14, 2009","1.3169","1.3271","1.3392","1.3122","-0.86%"
"May 13, 2009","1.3283","1.3070","1.3320","1.2974","1.62%"
"May 12, 2009","1.3071","1.3196","1.3226","1.3014","-0.86%"
"May 11, 2009","1.3184","1.2968","1.3191","1.2957","1.49%"
"May 08, 2009","1.2991","1.3215","1.3321","1.2968","-1.69%"
"May 07, 2009","1.3214","1.3399","1.3411","1.3123","-1.23%"
"May 06, 2009","1.3378","1.3499","1.3630","1.3324","-0.72%"
"May 05, 2009","1.3475","1.3508","1.3552","1.3365","-0.27%"
"May 04, 2009","1.3512","1.3633","1.3674","1.3490","-1.28%"
"May 01, 2009","1.3687","1.3784","1.3811","1.3607","-0.69%"
"Apr 30, 2009","1.3782","1.3812","1.3831","1.3537","0.02%"
"Apr 29, 2009","1.3779","1.4156","1.4179","1.3693","-2.71%"
"Apr 28, 2009","1.4163","1.4104","1.4307","1.4075","0.48%"
"Apr 27, 2009","1.4096","1.3858","1.4110","1.3856","1.95%"
