"Date","Price","Open","High","Low","Change %"
"Jul 02, 2009","0.6114","0.6066","0.6127","0.6059","0.74%"
"Jul 01, 2009","0.6069","0.6072","0.6105","0.6043","-0.03%"
"Jun 30, 2009","0.6071","0.6039","0.6089","0.5971","0.53%"
"Jun 29, 2009","0.6039","0.6058","0.6088","0.6028","-0.21%"
"Jun 26, 2009","0.6052","0.6106","0.6110","0.6037","-0.93%"
"Jun 25, 2009","0.6109","0.6091","0.6161","0.6071","0.21%"
"Jun 24, 2009","0.6096","0.6076","0.6109","0.6022","0.35%"
"Jun 23, 2009","0.6075","0.6116","0.6170","0.6069","-0.70%"
"Jun 22, 2009","0.6118","0.6056","0.6128","0.6054","0.99%"
"Jun 19, 2009","0.6058","0.6120","0.6134","0.6035","-1.00%"
"Jun 18, 2009","0.6119","0.6102","0.6178","0.6071","0.31%"
"Jun 17, 2009","0.6100","0.6098","0.6167","0.6066","0.02%"
"Jun 16, 2009","0.6099","0.6132","0.6167","0.6057","-0.57%"
"Jun 15, 2009","0.6134","0.6087","0.6158","0.6080","0.87%"
"Jun 12, 2009","0.6081","0.6032","0.6124","0.6023","0.88%"
"Jun 11, 2009","0.6028","0.6116","0.6119","0.6015","-1.42%"
"Jun 10, 2009","0.6115","0.6130","0.6157","0.6069","-0.24%"
"Jun 09, 2009","0.6130","0.6232","0.6255","0.6111","-1.67%"
"Jun 08, 2009","0.6234","0.6267","0.6329","0.6208","-0.38%"
"Jun 05, 2009","0.6258","0.6186","0.6273","0.6155","1.28%"
"Jun 04, 2009","0.6179","0.6133","0.6216","0.6084","0.70%"
"Jun 03, 2009","0.6136","0.6030","0.6157","0.6000","1.76%"
"Jun 02, 2009","0.6030","0.6085","0.6127","0.6024","-0.84%"
"Jun 01, 2009","0.6081","0.6182","0.6188","0.6061","-1.59%"
"May 29, 2009","0.6179","0.6275","0.6282","0.6172","-1.56%"
"May 28, 2009","0.6277","0.6263","0.6308","0.6243","0.19%"
"May 27, 2009","0.6265","0.6278","0.6280","0.6215","-0.24%"
"May 26, 2009","0.6280","0.6281","0.6339","0.6261","-0.03%"
"May 25, 2009","0.6282","0.6276","0.6315","0.6273","0.11%"
"May 22, 2009","0.6275","0.6311","0.6348","0.6271","-0.55%"
"May 21, 2009","0.6310","0.6352","0.6444","0.6292","-0.65%"
"May 20, 2009","0.6351","0.6461","0.6473","0.6330","-1.72%"
"May 19, 2009","0.6462","0.6521","0.6539","0.6441","-0.87%"
"May 18, 2009","0.6519","0.6588","0.6615","0.6514","-1.15%"
"May 15, 2009","0.6595","0.6572","0.6608","0.6540","0.40%"
"May 14, 2009","0.6569","0.6595","0.6641","0.6557","-0.42%"
"May 13, 2009","0.6597","0.6551","0.6628","0.6520","0.73%"
"May 12, 2009","0.6549","0.6619","0.6634","0.6512","-1.00%"
"May 11, 2009","0.6615","0.6566","0.6637","0.6558","0.85%"
"May 08, 2009","0.6559","0.6651","0.6681","0.6552","-1.41%"
"May 07, 2009","0.6653","0.6617","0.6692","0.6579","0.60%"
"May 06, 2009","0.6613","0.6640","0.6671","0.6599","-0.32%"
"May 05, 2009","0.6634","0.6652","0.6674","0.6594","-0.39%"
"May 04, 2009","0.6660","0.6698","0.6741","0.6655","-0.64%"
"May 01, 2009","0.6703","0.6763","0.6777","0.6694","-0.92%"
"Apr 30, 2009","0.6765","0.6776","0.6801","0.6689","-0.03%"
"Apr 29, 2009","0.6767","0.6833","0.6841","0.6749","-1.01%"
"Apr 28, 2009","0.6836","0.6839","0.6889","0.6805","-0.01%"
"Apr 27, 2009","0.6837","0.6819","0.6890","0.6803","0.35%"
"Apr 24, 2009","0.6813","0.6797","0.6861","0.6768","0.29%"
"Apr 23, 2009","0.6793","0.6907","0.6924","0.6782","-1.62%"
"Apr 22, 2009","0.6905","0.6813","0.6945","0.6807","1.32%"
"Apr 21, 2009","0.6815","0.6879","0.6910","0.6798","-1.02%"
"Apr 20, 2009","0.6885","0.6762","0.6897","0.6750","1.85%"
"Apr 17, 2009","0.6760","0.6699","0.6777","0.6691","0.84%"
"Apr 16, 2009","0.6704","0.6673","0.6739","0.6635","0.55%"
"Apr 15, 2009","0.6667","0.6712","0.6747","0.6648","-0.67%"
"Apr 14, 2009","0.6712","0.6732","0.6746","0.6690","-0.34%"
"Apr 13, 2009","0.6735","0.6830","0.6847","0.6724","-1.19%"
"Apr 10, 2009","0.6816","0.6815","0.6849","0.6809","-0.01%"
"Apr 09, 2009","0.6817","0.6801","0.6856","0.6765","0.21%"
"Apr 08, 2009","0.6803","0.6786","0.6833","0.6779","0.25%"
"Apr 07, 2009","0.6786","0.6781","0.6857","0.6765","0.12%"
"Apr 06, 2009","0.6778","0.6735","0.6817","0.6683","0.53%"
"Apr 03, 2009","0.6742","0.6787","0.6826","0.6734","-0.69%"
"Apr 02, 2009","0.6789","0.6917","0.6920","0.6778","-1.81%"
"Apr 01, 2009","0.6914","0.6976","0.7006","0.6904","-0.97%"
"Mar 31, 2009","0.6982","0.7008","0.7024","0.6955","-0.46%"
"Mar 30, 2009","0.7014","0.7018","0.7087","0.6993","0.47%"
"Mar 27, 2009","0.6981","0.6914","0.7009","0.6898","0.94%"
"Mar 26, 2009","0.6916","0.6870","0.6933","0.6830","0.65%"
"Mar 25, 2009","0.6871","0.6801","0.6890","0.6789","0.87%"
"Mar 24, 2009","0.6812","0.6867","0.6873","0.6765","-0.73%"
