"Date","Price","Open","High","Low","Change %"
"Mar 12, 2009","97.34","97.27","98.54","95.68","0.08%"
"Mar 11, 2009","97.26","98.80","98.83","97.07","-1.57%"
"Mar 10, 2009","98.81","98.95","99.15","98.19","-0.14%"
"Mar 09, 2009","98.95","97.96","99.20","97.95","2.44%"
"Mar 06, 2009","96.59","98.15","98.52","96.59","-1.60%"
"Mar 05, 2009","98.16","99.04","99.69","97.74","-0.89%"
"Mar 04, 2009","99.04","98.55","99.49","98.20","0.51%"
"Mar 03, 2009","98.54","97.11","98.61","97.04","1.47%"
"Mar 02, 2009","97.11","97.23","97.92","96.93","0.24%"
"Feb 27, 2009","96.88","98.36","98.37","96.88","-1.50%"
"Feb 26, 2009","98.36","97.41","98.72","97.35","0.98%"
"Feb 25, 2009","97.41","96.59","97.80","96.37","0.85%"
"Feb 24, 2009","96.59","94.39","96.95","94.28","2.32%"
"Feb 23, 2009","94.40","93.52","94.96","92.77","2.02%"
"Feb 20, 2009","92.53","94.04","94.39","92.53","-1.60%"
"Feb 19, 2009","94.03","93.67","94.48","93.32","0.38%"
"Feb 18, 2009","93.67","92.32","93.97","92.10","1.47%"
"Feb 17, 2009","92.31","91.76","92.76","91.58","0.61%"
"Feb 16, 2009","91.75","91.55","92.08","91.45","-0.44%"
"Feb 13, 2009","92.16","90.71","92.16","90.56","1.61%"
"Feb 12, 2009","90.70","90.33","91.12","89.83","0.41%"
"Feb 11, 2009","90.33","90.47","91.39","89.72","0.19%"
"Feb 10, 2009","90.16","91.34","91.68","90.16","-1.29%"
"Feb 09, 2009","91.34","91.17","91.80","91.15","-0.96%"
"Feb 06, 2009","92.23","91.20","92.23","90.75","1.14%"
"Feb 05, 2009","91.19","89.46","92.28","89.23","1.92%"
"Feb 04, 2009","89.47","89.40","89.79","88.84","0.09%"
"Feb 03, 2009","89.39","89.39","89.99","88.61","-0.01%"
"Feb 02, 2009","89.40","89.56","90.00","88.83","-0.77%"
"Jan 30, 2009","90.09","89.94","90.09","89.18","0.17%"
"Jan 29, 2009","89.94","90.51","90.68","89.49","-0.62%"
"Jan 28, 2009","90.50","89.35","90.77","88.95","1.29%"
"Jan 27, 2009","89.35","89.29","90.09","88.45","0.08%"
"Jan 26, 2009","89.28","89.37","89.70","88.74","-0.38%"
"Jan 23, 2009","89.62","89.15","89.62","88.01","0.53%"
"Jan 22, 2009","89.15","89.09","89.57","88.09","0.08%"
"Jan 21, 2009","89.08","89.84","90.18","87.14","-0.85%"
"Jan 20, 2009","89.84","90.66","90.99","89.69","-0.89%"
"Jan 19, 2009","90.65","91.23","91.26","90.16","-0.31%"
"Jan 16, 2009","90.93","89.99","90.93","89.85","1.04%"
"Jan 15, 2009","89.99","89.17","90.04","88.50","0.93%"
"Jan 14, 2009","89.16","89.39","89.98","88.62","-0.26%"
"Jan 13, 2009","89.39","89.49","89.90","88.82","-0.09%"
"Jan 12, 2009","89.47","90.16","90.27","88.91","-0.78%"
"Jan 09, 2009","90.17","91.41","91.67","90.17","-1.36%"
"Jan 08, 2009","91.41","92.76","92.94","90.86","-1.47%"
"Jan 07, 2009","92.77","93.40","94.16","92.34","-0.69%"
"Jan 06, 2009","93.41","93.25","94.65","92.96","0.16%"
"Jan 05, 2009","93.26","92.10","93.60","91.82","0.90%"
"Jan 02, 2009","92.43","90.68","92.43","90.68","1.87%"
"Jan 01, 2009","90.73","90.75","90.94","90.64","-0.24%"
"Dec 31, 2008","90.95","90.31","90.95","90.15","0.70%"
"Dec 30, 2008","90.32","90.68","91.00","90.03","-0.40%"
"Dec 29, 2008","90.68","90.66","90.77","89.79","-0.15%"
"Dec 26, 2008","90.82","90.46","90.82","90.39","0.45%"
"Dec 25, 2008","90.41","90.44","90.66","90.21","0.16%"
"Dec 24, 2008","90.27","90.90","90.93","90.27","-0.69%"
"Dec 23, 2008","90.90","90.18","91.02","89.91","0.79%"
"Dec 22, 2008","90.19","89.55","90.49","89.54","1.97%"
"Dec 19, 2008","88.45","89.55","89.86","88.45","-1.24%"
"Dec 18, 2008","89.56","87.30","90.04","87.27","2.59%"
"Dec 17, 2008","87.30","88.71","89.23","87.15","-1.58%"
"Dec 16, 2008","88.70","90.55","90.64","88.66","-2.04%"
"Dec 15, 2008","90.55","90.72","91.00","90.26","1.24%"
"Dec 12, 2008","89.44","91.55","91.87","89.44","-2.29%"
"Dec 11, 2008","91.54","92.83","92.85","91.18","-1.39%"
"Dec 10, 2008","92.83","92.31","93.02","92.27","0.55%"
"Dec 09, 2008","92.32","92.99","93.04","91.93","-0.71%"
"Dec 08, 2008","92.98","92.86","93.52","92.58","0.13%"
"Dec 05, 2008","92.86","92.45","93.37","91.57","0.44%"
"Dec 04, 2008","92.45","93.15","93.40","92.06","-0.75%"
"Dec 03, 2008","93.15","93.15","93.62","92.54","-0.01%"
"Dec 02, 2008","93.16","93.20","93.81","92.62","-0.03%"
"Dec 01, 2008","93.19","94.39","94.42","92.86","-2.62%"
"Nov 28, 2008","95.70","95.42","95.70","95.14","0.28%"
"Nov 27, 2008","95.43","95.62","95.70","94.99","-0.21%"
"Nov 26, 2008","95.63","95.45","95.93","94.72","0.19%"
"Nov 25, 2008","95.45","96.87","96.93","94.94","-1.46%"
"Nov 24, 2008","96.86","95.48","97.41","95.09","1.01%"
"Nov 21, 2008","95.89","94.05","95.96","93.83","1.96%"
"Nov 20, 2008","94.05","96.02","96.19","93.55","-2.01%"
"Nov 19, 2008","95.98","96.76","97.07","95.56","-0.81%"
"Nov 18, 2008","96.76","96.39","97.40","96.01","0.38%"
"Nov 17, 2008","96.39","96.22","97.53","96.03","-1.37%"
"Nov 14, 2008","97.73","97.60","97.73","96.16","0.13%"
"Nov 13, 2008","97.60","94.80","98.26","94.79","2.96%"
"Nov 12, 2008","94.79","97.29","98.06","94.47","-2.57%"
"Nov 11, 2008","97.29","97.97","98.29","97.17","-0.69%"
"Nov 10, 2008","97.97","99.03","99.45","97.59","-0.70%"
"Nov 07, 2008","98.66","97.29","98.66","96.75","1.39%"
"Nov 06, 2008","97.31","98.21","98.65","97.22","-0.90%"
"Nov 05, 2008","98.19","99.77","99.85","97.76","-1.58%"
"Nov 04, 2008","99.77","98.99","100.54","98.37","0.79%"
"Nov 03, 2008","98.99","98.53","99.64","98.31","-0.11%"
"Oct 31, 2008","99.10","98.77","99.10","96.34","0.34%"
"Oct 30, 2008","98.76","97.55","99.10","97.38","1.24%"
"Oct 29, 2008","97.55","98.20","98.26","96.08","-0.65%"
"Oct 28, 2008","98.19","93.20","99.68","92.63","5.35%"
"Oct 27, 2008","93.20","93.54","94.47","92.05","-1.15%"
"Oct 24, 2008","94.28","97.60","97.60","90.90","-3.40%"
"Oct 23, 2008","97.60","97.75","98.30","95.93","-0.14%"
"Oct 22, 2008","97.74","100.20","100.42","97.22","-2.46%"
"Oct 21, 2008","100.20","102.11","102.14","100.05","-1.87%"
"Oct 20, 2008","102.11","101.46","102.40","101.37","0.50%"
"Oct 17, 2008","101.60","101.42","101.81","100.60","0.19%"
"Oct 16, 2008","101.41","99.48","101.73","99.45","1.94%"
"Oct 15, 2008","99.48","101.56","101.91","99.25","-2.04%"
"Oct 14, 2008","101.55","102.52","103.05","101.41","-0.96%"
"Oct 13, 2008","102.53","100.69","102.67","99.55","2.08%"
"Oct 10, 2008","100.44","98.89","100.70","97.90","1.56%"
"Oct 09, 2008","98.90","99.85","101.47","98.50","-0.92%"
"Oct 08, 2008","99.82","101.23","101.58","98.58","-1.41%"
"Oct 07, 2008","101.25","101.60","103.27","101.07","-0.32%"
"Oct 06, 2008","101.58","104.62","104.65","100.28","-3.57%"
"Oct 03, 2008","105.34","104.95","106.13","104.53","0.37%"
"Oct 02, 2008","104.95","106.05","106.28","104.93","-1.05%"
"Oct 01, 2008","106.06","106.08","106.52","105.32","-0.03%"
"Sep 30, 2008","106.09","104.28","106.48","103.53","1.76%"
"Sep 29, 2008","104.26","106.31","106.95","103.55","-1.73%"
"Sep 26, 2008","106.10","106.08","106.18","105.02","0.03%"
"Sep 25, 2008","106.07","106.08","107.00","105.47","-0.01%"
"Sep 24, 2008","106.08","105.58","106.33","105.34","0.46%"
"Sep 23, 2008","105.59","105.48","106.05","105.17","0.10%"
"Sep 22, 2008","105.48","106.68","106.91","105.15","-1.82%"
"Sep 19, 2008","107.44","105.91","108.00","105.87","1.44%"
"Sep 18, 2008","105.91","104.34","105.95","103.99","1.50%"
"Sep 17, 2008","104.34","106.11","106.69","104.13","-1.65%"
"Sep 16, 2008","106.09","104.21","106.36","103.52","1.80%"
"Sep 15, 2008","104.21","106.33","106.67","104.13","-3.46%"
"Sep 12, 2008","107.94","107.12","107.97","106.71","0.75%"
"Sep 11, 2008","107.14","107.39","107.56","106.06","-0.23%"
"Sep 10, 2008","107.39","107.68","107.84","107.31","0.51%"
"Sep 09, 2008","106.84","108.15","108.28","106.64","-1.38%"
"Sep 08, 2008","108.33","108.99","109.09","107.72","0.52%"
"Sep 05, 2008","107.77","106.57","107.81","105.51","1.08%"
