"Date","Price","Open","High","Low","Change %"
"Apr 24, 2009","1.7467","1.7813","1.7857","1.7409","-1.80%"
"Apr 23, 2009","1.7788","1.8018","1.8098","1.7756","-1.26%"
"Apr 22, 2009","1.8015","1.7768","1.8080","1.7753","1.41%"
"Apr 21, 2009","1.7765","1.8070","1.8165","1.7665","-1.82%"
"Apr 20, 2009","1.8095","1.7544","1.8234","1.7507","2.64%"
"Apr 17, 2009","1.7629","1.7446","1.7707","1.7322","0.79%"
"Apr 16, 2009","1.7490","1.7229","1.7613","1.7200","1.66%"
"Apr 15, 2009","1.7205","1.7185","1.7432","1.7117","0.06%"
"Apr 14, 2009","1.7195","1.6880","1.7220","1.6838","1.72%"
"Apr 13, 2009","1.6905","1.7074","1.7148","1.6838","-1.41%"
"Apr 10, 2009","1.7147","1.7126","1.7212","1.7112","0.07%"
"Apr 09, 2009","1.7135","1.7268","1.7346","1.7068","-0.89%"
"Apr 08, 2009","1.7288","1.7361","1.7567","1.7221","-0.55%"
"Apr 07, 2009","1.7384","1.7033","1.7435","1.6975","1.99%"
"Apr 06, 2009","1.7045","1.7015","1.7103","1.6725","-0.13%"
"Apr 03, 2009","1.7067","1.7280","1.7333","1.6941","-1.35%"
"Apr 02, 2009","1.7300","1.7655","1.7742","1.7117","-1.91%"
"Apr 01, 2009","1.7637","1.7860","1.8093","1.7525","-0.92%"
"Mar 31, 2009","1.7800","1.7778","1.7915","1.7431","0.19%"
"Mar 30, 2009","1.7767","1.7606","1.7909","1.7550","1.24%"
"Mar 27, 2009","1.7550","1.7361","1.7640","1.7244","0.84%"
"Mar 26, 2009","1.7403","1.7652","1.7681","1.7218","-1.48%"
"Mar 25, 2009","1.7665","1.7727","1.8017","1.7461","-0.79%"
"Mar 24, 2009","1.7805","1.7501","1.7839","1.7385","1.80%"
"Mar 23, 2009","1.7490","1.7848","1.7887","1.7428","-2.27%"
"Mar 20, 2009","1.7897","1.7999","1.8029","1.7756","-0.76%"
"Mar 19, 2009","1.8034","1.8305","1.8521","1.7806","-1.46%"
"Mar 18, 2009","1.8302","1.8857","1.9036","1.8262","-2.94%"
"Mar 17, 2009","1.8856","1.8864","1.8956","1.8762","0.04%"
"Mar 16, 2009","1.8848","1.9124","1.9214","1.8706","-1.04%"
"Mar 13, 2009","1.9046","1.9168","1.9318","1.8943","-0.56%"
"Mar 12, 2009","1.9154","1.9486","1.9739","1.9084","-1.96%"
"Mar 11, 2009","1.9537","1.9822","2.0090","1.9444","-1.59%"
"Mar 10, 2009","1.9853","2.0296","2.0353","1.9771","-2.11%"
"Mar 09, 2009","2.0280","1.9869","2.0325","1.9724","1.96%"
"Mar 06, 2009","1.9890","2.0048","2.0114","1.9616","-0.71%"
"Mar 05, 2009","2.0032","1.9771","2.0125","1.9728","1.23%"
"Mar 04, 2009","1.9788","2.0173","2.0431","1.9650","-2.01%"
"Mar 03, 2009","2.0194","2.0259","2.0346","1.9904","-0.55%"
"Mar 02, 2009","2.0305","2.0044","2.0388","1.9992","1.57%"
"Feb 27, 2009","1.9992","1.9654","2.0080","1.9619","1.63%"
"Feb 26, 2009","1.9672","1.9623","1.9686","1.9459","0.14%"
"Feb 25, 2009","1.9645","1.9455","1.9659","1.9238","0.90%"
"Feb 24, 2009","1.9470","1.9693","1.9821","1.9346","-1.11%"
"Feb 23, 2009","1.9689","1.9608","1.9744","1.9272","0.74%"
"Feb 20, 2009","1.9545","1.9616","1.9973","1.9380","-0.27%"
"Feb 19, 2009","1.9598","1.9619","1.9668","1.9253","-0.09%"
"Feb 18, 2009","1.9615","1.9685","1.9763","1.9451","-0.45%"
"Feb 17, 2009","1.9703","1.9316","1.9761","1.9183","1.85%"
"Feb 16, 2009","1.9345","1.9172","1.9389","1.9095","1.19%"
"Feb 13, 2009","1.9118","1.9216","1.9285","1.8861","-0.20%"
"Feb 12, 2009","1.9157","1.9011","1.9477","1.8790","0.75%"
"Feb 11, 2009","1.9015","1.9099","1.9194","1.8896","-1.03%"
"Feb 10, 2009","1.9213","1.8553","1.9324","1.8488","3.69%"
"Feb 09, 2009","1.8529","1.8843","1.9083","1.8349","-1.42%"
"Feb 06, 2009","1.8796","1.9350","1.9563","1.8629","-2.89%"
"Feb 05, 2009","1.9356","1.9631","1.9804","1.9179","-1.98%"
"Feb 04, 2009","1.9747","1.9467","1.9916","1.9391","1.42%"
