date	prediction	subjective
02/01/2009 00:00	1	0
07/01/2009 00:00	1	0
12/01/2009 00:00	1	1
14/01/2009 00:00	1	0
15/01/2009 00:00	1	0
16/01/2009 00:00	1	1
21/01/2009 00:00	1	1
22/01/2009 00:00	1	0
23/01/2009 00:00	1	1
27/01/2009 00:00	1	0
03/02/2009 00:00	1	0
04/02/2009 00:00	1	1
10/02/2009 00:00	1	0
18/02/2009 00:00	0	1
16/03/2009 00:00	1	1
18/03/2009 00:00	1	0
20/03/2009 00:00	1	1
23/03/2009 00:00	1	1
25/03/2009 00:00	1	1
27/03/2009 00:00	1	1
30/03/2009 00:00	1	0
03/04/2009 00:00	1	0
06/04/2009 00:00	1	0
07/04/2009 00:00	1	1
15/04/2009 00:00	1	1
20/04/2009 00:00	1	1
21/04/2009 00:00	1	1
24/04/2009 00:00	1	0
27/04/2009 00:00	1	1
29/04/2009 00:00	1	0
01/05/2009 00:00	1	1
04/05/2009 00:00	1	1
05/05/2009 00:00	1	0
06/05/2009 00:00	1	0
12/05/2009 00:00	1	1
18/05/2009 00:00	1	1
19/05/2009 00:00	0	0
21/05/2009 00:00	1	1
22/05/2009 00:00	1	0
26/05/2009 00:00	1	1
02/06/2009 00:00	0	1
08/06/2009 00:00	1	0
09/06/2009 00:00	0	0
15/06/2009 00:00	1	0
16/06/2009 00:00	0	1
17/06/2009 00:00	1	0
22/06/2009 00:00	0	0
25/06/2009 00:00	0	1
26/06/2009 00:00	0	0
29/06/2009 00:00	0	0
02/07/2009 00:00	0	0
08/07/2009 00:00	0	1
09/07/2009 00:00	1	0
13/07/2009 00:00	1	1
21/07/2009 00:00	0	0
06/08/2009 00:00	0	1
10/08/2009 00:00	0	1
13/08/2009 00:00	0	0
17/08/2009 00:00	0	0
09/09/2009 00:00	0	0
14/09/2009 00:00	0	1
02/10/2009 00:00	0	0
13/10/2009 00:00	0	0
03/11/2009 00:00	0	1
04/11/2009 00:00	0	0
09/11/2009 00:00	0	1
10/11/2009 00:00	0	0
17/11/2009 00:00	0	0
23/11/2009 00:00	0	1
01/12/2009 00:00	0	0
