,Date,Prediction
0,2009-01-02,1
1,2009-01-07,1
2,2009-01-12,1
3,2009-01-14,1
4,2009-01-15,1
5,2009-01-16,1
6,2009-01-21,1
7,2009-01-22,1
8,2009-01-23,1
9,2009-01-27,1
10,2009-02-03,1
11,2009-02-04,1
12,2009-02-10,1
13,2009-02-18,0
14,2009-03-16,1
15,2009-03-18,1
16,2009-03-20,1
17,2009-03-23,1
18,2009-03-25,1
19,2009-03-27,1
20,2009-03-30,1
21,2009-04-03,1
22,2009-04-06,1
23,2009-04-07,1
24,2009-04-15,1
25,2009-04-20,1
26,2009-04-21,1
27,2009-04-24,1
28,2009-04-27,1
29,2009-04-29,1
30,2009-05-01,1
31,2009-05-04,1
32,2009-05-05,1
33,2009-05-06,1
34,2009-05-12,1
35,2009-05-18,1
36,2009-05-19,0
37,2009-05-21,1
38,2009-05-22,1
39,2009-05-26,1
40,2009-06-02,0
41,2009-06-08,1
42,2009-06-09,0
43,2009-06-15,1
44,2009-06-16,0
45,2009-06-17,1
46,2009-06-22,0
47,2009-06-25,0
48,2009-06-26,0
49,2009-06-29,0
50,2009-07-02,0
51,2009-07-08,0
52,2009-07-09,1
53,2009-07-13,1
54,2009-07-21,0
55,2009-08-06,0
56,2009-08-10,0
57,2009-08-13,0
58,2009-08-17,0
59,2009-09-09,0
60,2009-09-14,0
61,2009-10-02,0
62,2009-10-13,0
63,2009-11-03,0
64,2009-11-04,0
65,2009-11-09,0
66,2009-11-10,0
67,2009-11-17,0
68,2009-11-23,0
69,2009-12-01,0
