"Date","Price","Open","High","Low","Change %"
"Dec 29, 1989","0.8148","0.8148","0.8148","0.8148","0.16%"
"Dec 28, 1989","0.8135","0.8135","0.8135","0.8135","-0.15%"
"Dec 27, 1989","0.8147","0.8147","0.8147","0.8147","-0.90%"
"Dec 22, 1989","0.8221","0.8221","0.8221","0.8221","-0.72%"
"Dec 21, 1989","0.8281","0.8281","0.8281","0.8281","-1.19%"
"Dec 20, 1989","0.8381","0.8381","0.8381","0.8381","0.68%"
"Dec 19, 1989","0.8324","0.8324","0.8324","0.8324","0.41%"
"Dec 18, 1989","0.8290","0.8290","0.8290","0.8290","-0.14%"
"Dec 15, 1989","0.8302","0.8302","0.8302","0.8302","-0.50%"
"Dec 14, 1989","0.8344","0.8344","0.8344","0.8344","0.06%"
"Dec 13, 1989","0.8339","0.8339","0.8339","0.8339","-0.57%"
"Dec 12, 1989","0.8387","0.8387","0.8387","0.8387","-1.17%"
"Dec 11, 1989","0.8486","0.8486","0.8486","0.8486","-0.32%"
"Dec 08, 1989","0.8513","0.8513","0.8513","0.8513","0.08%"
"Dec 07, 1989","0.8506","0.8506","0.8506","0.8506","0.41%"
"Dec 06, 1989","0.8471","0.8471","0.8471","0.8471","-0.91%"
"Dec 05, 1989","0.8549","0.8549","0.8549","0.8549","0.07%"
"Dec 04, 1989","0.8543","0.8543","0.8543","0.8543","-0.15%"
"Dec 01, 1989","0.8556","0.8556","0.8556","0.8556","-0.18%"
"Nov 30, 1989","0.8571","0.8571","0.8571","0.8571","0.22%"
"Nov 29, 1989","0.8552","0.8552","0.8552","0.8552","-0.58%"
"Nov 28, 1989","0.8602","0.8602","0.8602","0.8602","0.20%"
"Nov 27, 1989","0.8585","0.8585","0.8585","0.8585","-0.80%"
"Nov 24, 1989","0.8654","0.8654","0.8654","0.8654","-0.53%"
"Nov 23, 1989","0.8700","0.8700","0.8700","0.8700","-0.16%"
"Nov 22, 1989","0.8714","0.8714","0.8714","0.8714","-0.13%"
"Nov 21, 1989","0.8725","0.8725","0.8725","0.8725","-0.83%"
"Nov 20, 1989","0.8798","0.8798","0.8798","0.8798","-0.24%"
"Nov 17, 1989","0.8819","0.8819","0.8819","0.8819","0.40%"
"Nov 16, 1989","0.8784","0.8784","0.8784","0.8784","-0.15%"
"Nov 15, 1989","0.8797","0.8797","0.8797","0.8797","-0.67%"
"Nov 14, 1989","0.8856","0.8856","0.8856","0.8856","-0.45%"
"Nov 13, 1989","0.8896","0.8896","0.8896","0.8896","0.24%"
"Nov 10, 1989","0.8875","0.8875","0.8875","0.8875","0.69%"
"Nov 09, 1989","0.8814","0.8814","0.8814","0.8814","0.10%"
"Nov 08, 1989","0.8805","0.8805","0.8805","0.8805","-0.08%"
"Nov 07, 1989","0.8812","0.8812","0.8812","0.8812","-0.36%"
"Nov 06, 1989","0.8844","0.8844","0.8844","0.8844","0.43%"
"Nov 03, 1989","0.8806","0.8806","0.8806","0.8806","-0.19%"
"Nov 02, 1989","0.8823","0.8823","0.8823","0.8823","0.35%"
"Nov 01, 1989","0.8792","0.8792","0.8792","0.8792","-0.01%"
"Oct 31, 1989","0.8793","0.8793","0.8793","0.8793","0.14%"
"Oct 30, 1989","0.8781","0.8781","0.8781","0.8781","-0.10%"
"Oct 27, 1989","0.8790","0.8790","0.8790","0.8790","-0.41%"
"Oct 26, 1989","0.8826","0.8826","0.8826","0.8826","0.42%"
"Oct 25, 1989","0.8789","0.8789","0.8789","0.8789","-0.31%"
"Oct 24, 1989","0.8816","0.8816","0.8816","0.8816","-0.66%"
"Oct 23, 1989","0.8875","0.8875","0.8875","0.8875","-0.01%"
"Oct 20, 1989","0.8876","0.8876","0.8876","0.8876","0.40%"
"Oct 19, 1989","0.8841","0.8841","0.8841","0.8841","-0.19%"
"Oct 18, 1989","0.8858","0.8858","0.8858","0.8858","-0.18%"
"Oct 17, 1989","0.8874","0.8874","0.8874","0.8874","-0.18%"
"Oct 16, 1989","0.8890","0.8890","0.8890","0.8890","-1.88%"
"Oct 13, 1989","0.9060","0.9060","0.9060","0.9060","-0.46%"
"Oct 12, 1989","0.9102","0.9102","0.9102","0.9102","-0.57%"
"Oct 11, 1989","0.9154","0.9154","0.9154","0.9154","1.61%"
"Oct 10, 1989","0.9009","0.9009","0.9009","0.9009","-0.02%"
"Oct 09, 1989","0.9011","0.9011","0.9011","0.9011","-0.28%"
"Oct 06, 1989","0.9036","0.9036","0.9036","0.9036","1.01%"
"Oct 05, 1989","0.8946","0.8946","0.8946","0.8946","-0.42%"
"Oct 04, 1989","0.8984","0.8984","0.8984","0.8984","-0.07%"
"Oct 03, 1989","0.8990","0.8990","0.8990","0.8990","0.44%"
"Oct 02, 1989","0.8951","0.8951","0.8951","0.8951","0.15%"
"Sep 29, 1989","0.8938","0.8938","0.8938","0.8938","-0.50%"
"Sep 28, 1989","0.8983","0.8983","0.8983","0.8983","0.39%"
"Sep 27, 1989","0.8948","0.8948","0.8948","0.8948","-0.72%"
"Sep 26, 1989","0.9013","0.9013","0.9013","0.9013","-0.57%"
"Sep 25, 1989","0.9065","0.9065","0.9065","0.9065","-1.99%"
"Sep 22, 1989","0.9249","0.9249","0.9249","0.9249","0.09%"
"Sep 21, 1989","0.9241","0.9241","0.9241","0.9241","0.26%"
"Sep 20, 1989","0.9217","0.9217","0.9217","0.9217","-0.78%"
"Sep 19, 1989","0.9289","0.9289","0.9289","0.9289","-0.13%"
"Sep 18, 1989","0.9301","0.9301","0.9301","0.9301","-2.06%"
"Sep 15, 1989","0.9497","0.9497","0.9497","0.9497","1.70%"
"Sep 14, 1989","0.9338","0.9338","0.9338","0.9338","-0.69%"
"Sep 13, 1989","0.9403","0.9403","0.9403","0.9403","-0.24%"
"Sep 12, 1989","0.9426","0.9426","0.9426","0.9426","-0.21%"
"Sep 11, 1989","0.9446","0.9446","0.9446","0.9446","0.65%"
"Sep 08, 1989","0.9385","0.9385","0.9385","0.9385","-0.47%"
"Sep 07, 1989","0.9429","0.9429","0.9429","0.9429","0.42%"
"Sep 06, 1989","0.9390","0.9390","0.9390","0.9390","-0.69%"
"Sep 05, 1989","0.9455","0.9455","0.9455","0.9455","0.79%"
"Sep 04, 1989","0.9381","0.9381","0.9381","0.9381","0.14%"
"Sep 01, 1989","0.9368","0.9368","0.9368","0.9368","0.79%"
"Aug 31, 1989","0.9295","0.9295","0.9295","0.9295","1.16%"
"Aug 30, 1989","0.9188","0.9188","0.9188","0.9188","-0.41%"
"Aug 29, 1989","0.9226","0.9226","0.9226","0.9226","-0.75%"
"Aug 25, 1989","0.9296","0.9296","0.9296","0.9296","-0.18%"
"Aug 24, 1989","0.9313","0.9313","0.9313","0.9313","0.42%"
"Aug 23, 1989","0.9274","0.9274","0.9274","0.9274","-0.01%"
"Aug 22, 1989","0.9275","0.9275","0.9275","0.9275","-0.15%"
"Aug 21, 1989","0.9289","0.9289","0.9289","0.9289","-0.08%"
"Aug 18, 1989","0.9296","0.9296","0.9296","0.9296","-0.59%"
"Aug 17, 1989","0.9351","0.9351","0.9351","0.9351","1.31%"
"Aug 16, 1989","0.9230","0.9230","0.9230","0.9230","0.07%"
"Aug 15, 1989","0.9224","0.9224","0.9224","0.9224","-0.13%"
"Aug 14, 1989","0.9236","0.9236","0.9236","0.9236","0.15%"
"Aug 11, 1989","0.9222","0.9222","0.9222","0.9222","2.55%"
"Aug 10, 1989","0.8993","0.8993","0.8993","0.8993","-0.56%"
"Aug 09, 1989","0.9044","0.9044","0.9044","0.9044","0.31%"
"Aug 08, 1989","0.9016","0.9016","0.9016","0.9016","-0.72%"
"Aug 07, 1989","0.9081","0.9081","0.9081","0.9081","0.65%"
"Aug 04, 1989","0.9022","0.9022","0.9022","0.9022","1.68%"
"Aug 03, 1989","0.8873","0.8873","0.8873","0.8873","0.75%"
"Aug 02, 1989","0.8807","0.8807","0.8807","0.8807","-0.84%"
"Aug 01, 1989","0.8882","0.8882","0.8882","0.8882","-0.12%"
"Jul 31, 1989","0.8893","0.8893","0.8893","0.8893","-0.89%"
"Jul 28, 1989","0.8973","0.8973","0.8973","0.8973","0.88%"
"Jul 27, 1989","0.8895","0.8895","0.8895","0.8895","-0.48%"
"Jul 26, 1989","0.8938","0.8938","0.8938","0.8938","-0.97%"
"Jul 25, 1989","0.9026","0.9026","0.9026","0.9026","-0.61%"
"Jul 24, 1989","0.9081","0.9081","0.9081","0.9081","0.21%"
"Jul 21, 1989","0.9062","0.9062","0.9062","0.9062","-0.14%"
"Jul 20, 1989","0.9075","0.9075","0.9075","0.9075","0.22%"
"Jul 19, 1989","0.9055","0.9055","0.9055","0.9055","0.20%"
"Jul 18, 1989","0.9037","0.9037","0.9037","0.9037","-0.87%"
"Jul 17, 1989","0.9116","0.9116","0.9116","0.9116","0.78%"
"Jul 14, 1989","0.9045","0.9045","0.9045","0.9045","1.06%"
"Jul 13, 1989","0.8950","0.8950","0.8950","0.8950","0.18%"
"Jul 12, 1989","0.8934","0.8934","0.8934","0.8934","-0.11%"
"Jul 11, 1989","0.8944","0.8944","0.8944","0.8944","0.97%"
"Jul 10, 1989","0.8858","0.8858","0.8858","0.8858","-1.40%"
"Jul 07, 1989","0.8984","0.8984","0.8984","0.8984","-0.16%"
"Jul 06, 1989","0.8998","0.8998","0.8998","0.8998","-0.40%"
"Jul 05, 1989","0.9034","0.9034","0.9034","0.9034","-1.39%"
"Jul 04, 1989","0.9161","0.9161","0.9161","0.9161","-0.49%"
"Jul 03, 1989","0.9206","0.9206","0.9206","0.9206","-1.23%"
"Jun 30, 1989","0.9321","0.9321","0.9321","0.9321","0.50%"
"Jun 29, 1989","0.9275","0.9275","0.9275","0.9275","-0.84%"
"Jun 28, 1989","0.9354","0.9354","0.9354","0.9354","0.48%"
"Jun 27, 1989","0.9309","0.9309","0.9309","0.9309","-0.24%"
"Jun 26, 1989","0.9331","0.9331","0.9331","0.9331","0.72%"
"Jun 23, 1989","0.9264","0.9264","0.9264","0.9264","-0.60%"
"Jun 22, 1989","0.9320","0.9320","0.9320","0.9320","-0.90%"
"Jun 21, 1989","0.9405","0.9405","0.9405","0.9405","-0.15%"
"Jun 20, 1989","0.9419","0.9419","0.9419","0.9419","-0.11%"
"Jun 19, 1989","0.9429","0.9429","0.9429","0.9429","-0.77%"
"Jun 16, 1989","0.9502","0.9502","0.9502","0.9502","-1.74%"
"Jun 15, 1989","0.9670","0.9670","0.9670","0.9670","0.20%"
"Jun 14, 1989","0.9651","0.9651","0.9651","0.9651","-0.18%"
"Jun 13, 1989","0.9668","0.9668","0.9668","0.9668","0.10%"
"Jun 12, 1989","0.9658","0.9658","0.9658","0.9658","0.96%"
"Jun 09, 1989","0.9566","0.9566","0.9566","0.9566","1.32%"
"Jun 08, 1989","0.9441","0.9441","0.9441","0.9441","0.48%"
"Jun 07, 1989","0.9396","0.9396","0.9396","0.9396","-0.56%"
"Jun 06, 1989","0.9449","0.9449","0.9449","0.9449","1.22%"
"Jun 05, 1989","0.9335","0.9335","0.9335","0.9335","0.03%"
"Jun 02, 1989","0.9332","0.9332","0.9332","0.9332","-1.27%"
"Jun 01, 1989","0.9452","0.9452","0.9452","0.9452","0.17%"
"May 31, 1989","0.9436","0.9436","0.9436","0.9436","-1.51%"
"May 30, 1989","0.9581","0.9581","0.9581","0.9581","1.39%"
"May 26, 1989","0.9450","0.9450","0.9450","0.9450","-0.30%"
"May 25, 1989","0.9478","0.9478","0.9478","0.9478","-0.88%"
"May 24, 1989","0.9562","0.9562","0.9562","0.9562","0.49%"
"May 23, 1989","0.9515","0.9515","0.9515","0.9515","-0.56%"
"May 22, 1989","0.9569","0.9569","0.9569","0.9569","1.96%"
"May 19, 1989","0.9385","0.9385","0.9385","0.9385","-0.21%"
"May 18, 1989","0.9405","0.9405","0.9405","0.9405","0.12%"
"May 17, 1989","0.9394","0.9394","0.9394","0.9394","1.67%"
"May 16, 1989","0.9240","0.9240","0.9240","0.9240","-0.08%"
"May 15, 1989","0.9247","0.9247","0.9247","0.9247","1.92%"
"May 12, 1989","0.9073","0.9073","0.9073","0.9073","-0.34%"
"May 11, 1989","0.9104","0.9104","0.9104","0.9104","0.39%"
"May 10, 1989","0.9069","0.9069","0.9069","0.9069","-0.48%"
"May 09, 1989","0.9113","0.9113","0.9113","0.9113","0.75%"
"May 08, 1989","0.9045","0.9045","0.9045","0.9045","0.18%"
"May 05, 1989","0.9029","0.9029","0.9029","0.9029","0.44%"
"May 04, 1989","0.8989","0.8989","0.8989","0.8989","-0.01%"
"May 03, 1989","0.8990","0.8990","0.8990","0.8990","0.04%"
"May 02, 1989","0.8986","0.8986","0.8986","0.8986","0.36%"
"Apr 28, 1989","0.8954","0.8954","0.8954","0.8954","0.20%"
"Apr 27, 1989","0.8936","0.8936","0.8936","0.8936","-0.02%"
"Apr 26, 1989","0.8938","0.8938","0.8938","0.8938","0.65%"
"Apr 25, 1989","0.8880","0.8880","0.8880","0.8880","0.24%"
"Apr 24, 1989","0.8859","0.8859","0.8859","0.8859","0.50%"
"Apr 21, 1989","0.8815","0.8815","0.8815","0.8815","0.16%"
"Apr 20, 1989","0.8801","0.8801","0.8801","0.8801","-0.77%"
"Apr 19, 1989","0.8869","0.8869","0.8869","0.8869","0.40%"
"Apr 18, 1989","0.8834","0.8834","0.8834","0.8834","-0.26%"
"Apr 17, 1989","0.8857","0.8857","0.8857","0.8857","-0.67%"
"Apr 14, 1989","0.8917","0.8917","0.8917","0.8917","-0.03%"
"Apr 13, 1989","0.8920","0.8920","0.8920","0.8920","-0.54%"
"Apr 12, 1989","0.8968","0.8968","0.8968","0.8968","-0.02%"
"Apr 11, 1989","0.8970","0.8970","0.8970","0.8970","0.31%"
"Apr 10, 1989","0.8942","0.8942","0.8942","0.8942","0.18%"
"Apr 07, 1989","0.8926","0.8926","0.8926","0.8926","0.25%"
"Apr 06, 1989","0.8904","0.8904","0.8904","0.8904","-0.02%"
"Apr 05, 1989","0.8906","0.8906","0.8906","0.8906","0.18%"
"Apr 04, 1989","0.8890","0.8890","0.8890","0.8890","-1.05%"
"Apr 03, 1989","0.8984","0.8984","0.8984","0.8984","-0.63%"
"Mar 31, 1989","0.9041","0.9041","0.9041","0.9041","0.47%"
"Mar 30, 1989","0.8999","0.8999","0.8999","0.8999","-0.28%"
"Mar 29, 1989","0.9024","0.9024","0.9024","0.9024","0.52%"
"Mar 28, 1989","0.8977","0.8977","0.8977","0.8977","0.85%"
"Mar 23, 1989","0.8901","0.8901","0.8901","0.8901","-0.17%"
"Mar 22, 1989","0.8916","0.8916","0.8916","0.8916","0.12%"
"Mar 21, 1989","0.8905","0.8905","0.8905","0.8905","-0.51%"
"Mar 20, 1989","0.8951","0.8951","0.8951","0.8951","0.00%"
"Mar 17, 1989","0.8951","0.8951","0.8951","0.8951","0.31%"
"Mar 16, 1989","0.8923","0.8923","0.8923","0.8923","0.25%"
"Mar 15, 1989","0.8901","0.8901","0.8901","0.8901","0.36%"
"Mar 14, 1989","0.8869","0.8869","0.8869","0.8869","-0.27%"
"Mar 13, 1989","0.8893","0.8893","0.8893","0.8893","0.07%"
"Mar 10, 1989","0.8887","0.8887","0.8887","0.8887","0.15%"
"Mar 09, 1989","0.8874","0.8874","0.8874","0.8874","0.23%"
"Mar 08, 1989","0.8854","0.8854","0.8854","0.8854","0.15%"
"Mar 07, 1989","0.8841","0.8841","0.8841","0.8841","0.05%"
"Mar 06, 1989","0.8837","0.8837","0.8837","0.8837","0.39%"
"Mar 03, 1989","0.8803","0.8803","0.8803","0.8803","-0.15%"
"Mar 02, 1989","0.8816","0.8816","0.8816","0.8816","0.30%"
"Mar 01, 1989","0.8790","0.8790","0.8790","0.8790","0.86%"
"Feb 28, 1989","0.8715","0.8715","0.8715","0.8715","0.36%"
"Feb 27, 1989","0.8684","0.8684","0.8684","0.8684","-0.47%"
"Feb 24, 1989","0.8725","0.8725","0.8725","0.8725","0.15%"
"Feb 23, 1989","0.8712","0.8712","0.8712","0.8712","-0.70%"
"Feb 22, 1989","0.8773","0.8773","0.8773","0.8773","-0.23%"
"Feb 21, 1989","0.8793","0.8793","0.8793","0.8793","-0.11%"
"Feb 20, 1989","0.8803","0.8803","0.8803","0.8803","0.41%"
"Feb 17, 1989","0.8767","0.8767","0.8767","0.8767","-0.32%"
"Feb 16, 1989","0.8795","0.8795","0.8795","0.8795","0.41%"
"Feb 15, 1989","0.8759","0.8759","0.8759","0.8759","-0.95%"
"Feb 14, 1989","0.8843","0.8843","0.8843","0.8843","-0.91%"
"Feb 13, 1989","0.8924","0.8924","0.8924","0.8924","0.50%"
"Feb 10, 1989","0.8880","0.8880","0.8880","0.8880","0.19%"
"Feb 09, 1989","0.8863","0.8863","0.8863","0.8863","-0.67%"
"Feb 08, 1989","0.8923","0.8923","0.8923","0.8923","0.17%"
"Feb 07, 1989","0.8908","0.8908","0.8908","0.8908","-0.60%"
"Feb 06, 1989","0.8962","0.8962","0.8962","0.8962","-0.08%"
"Feb 03, 1989","0.8969","0.8969","0.8969","0.8969","0.47%"
"Feb 02, 1989","0.8927","0.8927","0.8927","0.8927","-0.10%"
"Feb 01, 1989","0.8936","0.8936","0.8936","0.8936","0.19%"
"Jan 31, 1989","0.8919","0.8919","0.8919","0.8919","0.29%"
"Jan 30, 1989","0.8893","0.8893","0.8893","0.8893","0.38%"
"Jan 27, 1989","0.8859","0.8859","0.8859","0.8859","0.67%"
"Jan 26, 1989","0.8800","0.8800","0.8800","0.8800","-0.02%"
"Jan 25, 1989","0.8802","0.8802","0.8802","0.8802","0.66%"
"Jan 24, 1989","0.8744","0.8744","0.8744","0.8744","-0.36%"
"Jan 23, 1989","0.8776","0.8776","0.8776","0.8776","-0.32%"
"Jan 20, 1989","0.8804","0.8804","0.8804","0.8804","-1.12%"
"Jan 19, 1989","0.8904","0.8904","0.8904","0.8904","0.18%"
"Jan 18, 1989","0.8888","0.8888","0.8888","0.8888","0.55%"
"Jan 17, 1989","0.8839","0.8839","0.8839","0.8839","-0.34%"
